Rank,Title,Heat,Link
2.,男子吃掉4500万拍下的香蕉称不错,212.5万,/l?e=3581N79KJX4DVQ8VGNxefL%2BuwDuFP87aHCuR4q91EgZgip34KIBybrNIH%2B5YM3jwfzzdh17q8c7ZNK8DHIv35jYXMdYftUcxJrJqbNTMOoWvJKRuDt6vaxNAQL%2Fcg41lWUBJQtJ66%2Fho48blJ4bvFAh3rz9iEmwrlXA6KanInQmqeb8gPbtI%2BE7XFpVq7Fn0iz3kuzsDwrjQjVeIYMX%2FoVuLqQOSfA5gjTN6q4cgLTxTa%2BpDyJhGeyVBw05fAOb7OIYdqqHmsr8P1BdAzRFv1M6v1T9UV5a51Vh%2FGcR3XSsMPzqV6gcORRVYhHKchTFYlLElpU8YVp25CcPex1jGNrCjGapzjYbJ%2BeH0OG3Vjgl8TIEzZpR7TVtVH2bgZ6mb6LBSrcM6ZoPhgPsA%2Bw
3.,在靖国神社涂鸦的中国男子被日本公审,124.4万,/l?e=7059r6OS3U43LDyJ3yKVwk9Y0BvncMS6snkoP3MeM3%2FKzJFLo2gKavCzekYLRagc8%2F2BEvidbN7XAO5a1pLO9xOXGBIfABAKXYnTPQJfPZaG50QGqhsiT6lD25ex%2Brj7SAa6FJihFOs%2FIGiXN7wXDVwAaYJMvJg%2F6Y3BSr8DswZ9MsImSg97BR7mzf4V52GH8HOOTgj0Hr5Wy9CaKEuK8mMrDBPgGBYfQ6y73uQiAqD4Sqmh1HocdEgh0adlVTqwQ4MPZo3LF%2Ff7nRKqJJgZnDqg%2BmK6%2FqgIwcV4EcIFJ42v2222whuVX5%2BTEGoOr%2BGJiuBhWQH7YuxI2QDV4ymbf89bQpgDKOUI7HD3bCabxOARtMYCqG04UUbeeAGd5mlAG%2BWEokbDtDaSyaCFeBvJTSUKIwGhMDUjepPZ5S3ZRyFYfCBP2xIY0qm53vH%2B7M5otMyQCNaxGdUd%2B%2BDa%2Bpb%2BQV9Lahf1
4.,何以中国弦歌不辍,97.9万,/l?e=8aafpGSZAyty5rTl649Hx%2FxjkumnkTWPr7dchH7uUDuZ4EmMISd0ZaxNkSdW06zQCxzsZvaWz9NqKYXy7%2FojbdASt84Vk9D6iVXyQiNn%2F3frI7jSbGXpFkLjEJt%2F9FJ5DJ76fJBrAFFD2ssbNOenlzRJ4oKX17wTgwUqYP70S9MB1Yu2RxNF4LvbEoy8w6o%2FSIrkd0ux1Ld6CEzIZ1BGeRh%2FY6EOZ4lXjJaq%2FmiCugQytvPdRat1xjLtJWkv78WQGp8qtQfxJfEhLeUhtDnYNtgrEAR9VkPhY3osVUzH
5.,男子确诊肺癌医生一根针冻死癌细胞,77.6万,/l?e=b154O9Zag3Zi2pEgQLAX6W3%2FEu%2BIeZRbRNAq5ujkDEVHXLt0zKiIrIrrc3onbSnLHSwz5ZRtxugdnZMC%2BGgdTL50wHKx8r%2Bnuct6Kn1qvXmjMiGa%2F%2Fm3GFbu%2FvIRPYE8nD8zeNtWFqOM0sqkHE2t5KADk%2BO616Vd8jtgLb4FrkRWp3EO44gWA%2BnmfAX88NTJedjJzDBkGI5W%2BKLEI45JCVPY2UQBy9YDw7EeKI2YV5n2n9lT4LCZalz4kfCXz0f1XGs98BvmYMij1PQmZuKPK0Uwd6EQZbZyIgScQpiSulniTRBJorqlu255zncP5oUNyzUIaaqKy%2FUf8hw5t8T63zF78YWC52QNCJPNg%2Bg6lam8Lh9yGYxaFKNV1CfYP4FSkkDKZ2nFTJVVWDV8OYREChHSIZ3GBkdxOuJ%2FNe6qz8QJHzlB79wPBeihJZo%2FFLvpVRWobHp7
6.,员工已读不回负责人凌晨爆粗口,73.6万,/l?e=09181srBY90O%2FEfLVj3hakzoLVkLngzU3vDbakzx%2B1CSvHMWwM0XM6jxaEgPiLGuXi7QNris%2FttpT3aCcMWMT1f1AFsvFYbX4%2FI7kFml9njIe5L4%2FXJwfA6ibNumEQz3joFLOEzeGEO4K1fZUonqopp2eidjusUKBx030z6dWH1Hoa059BAn1bAl1Hk9fub7tkRYk5RKlR6pZ0AjseBFixRKz1Ml9Ov%2BWQR5G92vEbASxyQ2U8ILHApslU2xtHd75iDKzG9SuZuaTazDcUkPdbFhRHunaTVOVa4DO%2Bp5dQZe8XIEZ%2B74pqH9hHWjKRYf1hLDdCrxSHaXeDyaCQKmKslERNFn68wdgwuU19rcQRiGz09%2Fnx3aVeeJoXurneitEhfPYyYKbZLO1c5lq1npRHoyD2YHBmZ6
7.,papi酱 是狗把他带大的吗,48.9万,/l?e=dd6fkpqenFTCBURc0qljhIxTPkEhvgXM1qph5P0muNcbkQsOKtXjWRLvilcL4RkgDTQyIdUMECJO4JpaImQs7W5xyiCPBtAP3uMi7a5xRF4v8RDacl3NLwj2qFI3ZH9UFhl1QX8BYncq8QiTd%2FPXDlTQ%2B%2B%2F64DcLDh2aGPVPpgA%2FJ65k08whcsVlsBF5IDtmDUxLI7AO2e6pRSzkCQ6Yo2YD9J4ePPcXY2f3MQ9489F%2BCAyz8G6YeneDSr%2BiW%2FA5Ed3L8qQP0%2FQvGSoNLGgYKbHlt5lxdVnHNWOrOoZ%2FMBZ5M5UYziZOUqqx5XGecNrxk05afA
8.,iG官宣重组,46.4万,/l?e=7237lxuIEXThl0sEqKat1ofHv%2B2oyHxSOfT2gHSzzZIHsLdh%2Fcv3BBsAuDyZkjM1YHXgSb6%2BISMV%2F5uhehrZgBNSe4qxOfN9ssY20mw1faUxsKUuQz0RYsRAqyNMbzLUJptTd3Ns%2FxCGbEXRnV%2FYs03p6eTiW5LxpqFLZvAB%2FW25%2FO4SXNtWzk4ZX5zYhnq3hacKi%2FirorhWOfholS6r73iFYIs
9.,周密 刻板印象,38.8万,/l?e=c928E3AFtAHo%2FfYpN3cPdlDf2GJxq3Zzy4atKbajQrDqPF2e8Ua66zJANdaCOoKR8vyXAK%2FWnwg1pg9YmlD9E8CEkOx%2FWdcvq8Q2uTN0j9Rd0dtUxIAouRqK6UKOtfgHcZTJfzsnclQcnSKRVCZcurM28jUoqg7HbcLVWacVeSt9V%2FBX4cVGLwBteL3H090FRHR8X92Plxig6xb62EGWzd1IHvQSb%2BouyxcsWNYnbWGVmq1bqoFO261N21PzY5hGkcG5
10.,我支持新疆棉花,37.9万,/l?e=69fauQY8S4gj0O8DbtWF1ThHvIlO2rgVydS4jtcE1B5Z%2Ba9QoCgqC0F%2BpMQve8zxG1L5c2jvJGl0XT1E4GAdNwbpDK6min754a3dHqbqyB2%2FA9trhG8qDzVfTCvRWG5pPnWPtiryxVTG2%2B03oE6TDWzzmTIzlYJkehstE50rUy53HTBMQHrv5dGtgQs7Yk5OQqPQA9%2FtKTPhRPmF8ljnOGC0DLFkGM9ptG1c1KLcJlUXkbgRvGcfbRKvbsiAp4FFmopeNAwutzTCutJEU3iT
11.,陈小春养老保险有点多,综艺 373069,/l?e=8bfdB%2B9G78Fb2htsrO6HyZXQoGAUdDR5z6a1WFfvxRpzYeNMcZxUKvtYs3Z4DJv5Gi7dlSt3XSeI0y%2FFgngXjOun6QEXKkUWy8fStRIZiSQeTIHNGN9yK4YDTf%2FkYy5BdEeCngB60E37yncDWh4x%2B%2Fvo%2BVEBNFtCmYPLDrBj4zxr2KmC2G71OsxooeqduWb9WpgRHvAlx%2BLoFC1xB5aDRTd4ir50R5y0raEAuMnGUtr3U8lhsLLkcUP8NX149JYm%2BIQ9PIWBaCsPujbEYcxopqGJZWMwUZtDUx57nWrBNy9Z5pG%2FkV5aFUclaT6VQz66u2xA%2B4gr%2FzsPRvar
12.,为何奇葩证明还在为难着基层,36.1万,/l?e=addelWRIVUWccbaX0WQuxUsysFfC%2B6Tjc2kMyPjUPG9q9v5td2PYsCbdvAkzM9Hc%2FhzWK30w9yf6W6W5gVssy1qs0LJt%2FKN0cSxOV%2BmMaxrShDQXaJnXwwDyORgx7PhluDZRNPlDYckpUH3sOrfFkpMsBvoSe4GfeGFsTAXYzaSe%2BUiGBAq3dEr%2Fm8HxM9eTp7HOufCYm6WxQbDhe4ey2u%2FCBIjxSExTDLlAKl9WdmSGhZ3cBCaBLhD10ZQqDlJ34f8msua6aK3sLSLpf%2FXT4dudO4vgz4UMgxc9yRSMwz2Ss%2BsfzRtVGu9U4J7BsS8kkbj9BENjk%2Bvd8%2FUWBGR%2FUBErMlNmDwyC71Z9%2FYsitqz5A79MPcC95cNUCN%2Fh8H%2FP4k%2B4Va%2BUsK71
13.,合肥LV柜姐离职后开始卖货,36.0万,/l?e=db5fX5mNhYnq%2BzTJosI7haCQxocj9nKcAJGx1K05Ll5RQC1UX1Y8Xi4yUH8o996otWZGsekgZG0cEgWjptB%2Fqir%2F%2Fg%2Bphpi7t2FCsNTMpH2718lU1%2BZ1Gy2DoAghk9fx7j%2Fw%2Fvh19v2GEaezlZUK2hp8a0W7m9RF1OHqTmCZwHoCTefr%2BFtIjS%2Fm7arIC9IJtjrPxlLMmonK9ttnu6usrUNN6w%2F66ygYJdoKoIycukOCfjeIPbQlv5D%2FdDGy%2F8FiVCvAkrnXUilQTZZ5V0lLUktz4yWueTfYbJnI4fJ5KvGTJEEHR4hrJk7e1XkctzM2xgeVCM72ENYucRQuWqTHevuEhPh5oq0bZYd1wwo
14.,婚礼前一天46条喜烟全被偷了,35.7万,/l?e=2dde8NAPSplZG%2BmaYBydy5ARyzDK07817roNjQ9z96HJWvXoX54GbKM5y%2BnELVM6rIbrj68lYKlTH5QTTfw8nunHkPXjer59wjhUapjsPr7dQLB%2FlPzbn7Mt%2BwgDJ5mT24%2BuoXTR326gmSpluakSxgRNxuVcHnT%2FDEh6BdX55OU1aqtt2DXq6w6XWVuXmgOZuh2LolBMbN2vpckfQGpYMcSBP%2BIiTOEV5a7j54eNtBbldgURVDCI4rsBBofHQPMw65TMFhbfUY%2B4hC1PwGow76LC28L5xsoS4KXW88Eq21dPvTeHDA4H2humRg%2Bne9w1tzF%2B8REKJ7UYvboSDHJBlw6mU9yG0a6tTY%2BWY4yb21LBJXi6EsE4ZnRA2HE
15.,叙利亚局势,31.5万,/l?e=dbaa6jxL5p0KEuGSkY0%2FasQWAZhhAIp9V4rx%2BlI6JANzHPbSqKhZPzwYATToh8bojNIQerubzLjjEPfSDwJU%2FbAXjs6ODeb3izUERI2dCrPJWy1HpciWQt0W432DbnZBuquc679QsJZxCC99RrFkrUgiWGzyvxtdJl2FklvDj%2BKoivZNmlAt8PQLR35UoiQoN4DDg5dXVldFkbaPI8nAzkeKDMBzmmWzYLi0UFSNh1H6
16.,这些OST一响2024画面感就来了,30.6万,/l?e=c35cZiwmfvYzlWtT1a6fpd1%2Bg4dPoNrMZvneKOkUW8mG6NY0b%2FiEJyVE0cjCuoeiEmhyRiUqr0XDdDyv98AupP0zvsygQyTp%2F1LIvREUlWA6Crvb7IJZUEYbBcewM1Cu0BRt0BOiOQK4ivM5LlDjGtRsXjHmN0ORSdgd1sGSHkWEQjz4TPCI%2Br2M6cKjGcj4bQR3K0ZrJ%2BxcZgiJd3AXkbOxwYzinmpIJpOeKBcZklW3Q7B4GK0FJTQPADjnh5NvYEukOFt85HUFXvJqKB2reshncue8hWNj9i0lz7VlaxNV0g%2FG9lIVX%2BeifYxjfpZT%2BV5yXxWFWz4CK2BssYewYzlXwA
17.,外交部回应优衣库不用新疆棉,30.5万,/l?e=3eea%2FmaAnMgW1pQWWPFnHoD9468lljeR%2FgsWvbJRF46OAuFvc6Kyk%2BIDOSsaJzIQ%2FEc2MpY4lXmx%2F81JC7ld2LsTAJnrFSdKJLzv9%2BEuWCQsvaUeDtZ4DFnk1mTOfstF0RuGKiKMrgcLKYLbp578VHDteT0SVrBKCq%2B6%2BP6NQXHniX8%2FfrOOH9MYWtHkcWo7RMTraIFOOJR4gVvQOL3EEBJugjl7PECr7v1yFcPZlPWFNlbI7wk%2FPdLmrX8oiemENslRKmJwzv675W%2BPROR2zH4E0BabCtw9UtJl%2BQMTUhRkdg46z4kEhi9Jk77mRjoPX65DNwV%2FmFs3j136%2Fez4j36KXjXrsS50JiKEVtgUY%2FcndsrxTnrKObElvE1w%2FFnCQVqP%2FB0HElkr
18.,王安宇去有风的地方旅行vlog,综艺 300541,/l?e=6840x3XAsOneQCRPiwzRPMpwq5%2BgTZxB1N9uB1nJONremMZq8HMg0OvobgPM3vK4P9p3TZGlQ8Ad0qLa1rBl%2FSLpRx5f2oudK03V3whZ48fq3K3vraxy%2BVepDK%2Bs6%2FxaVt8%2FARNpwNOxW45HM3bpzdqHgmIUEmAEkxFYb6PbNpP3OB6F40TIcBC%2BUchmtDBGANxVL1swsHuDLT9dhYoKv8H6CoLrcM0M4UIkScDhWf5ypm3HsNQBKEEMTOmXl7EXIzaJSmI%2BeDUg8j4slyKvpcPl98ihXFyVwqdzrm0XvsxNQhpMMtxH2ARW3ldc7dA2yYnq0MjNtdly20Q0GLfQ%2FvccQm4WJdTPRrA%2BaQdQ3Q
19.,张朝阳不建议掏空六个钱包消费,28.7万,/l?e=b110vWNFPB1UR06acSeE2S4EYfY1gi5lEriIPkg2%2B%2BdyafcjyZztJ8%2Bf83iWnTI7U1DxkxpYQik0Y43vVXhNTxRO1gRTez7E6fygxT4ZX9TEzKaU74DwmYAgYFu5rJzhjjQjIAzLH0CnUOpswyosPwT%2BtpQYgcEHxbr5PEZ6ZKC%2Fluyab1O%2BhkUQYvAC6AdNm05QQye4C3IGTUCov2m%2FoQlaNt%2FzEfG9WM7NvL%2FwWuVmcCB2zgEmH8EoLxIcB1UdMT7xagD%2FILaZ3vWgE9iyS2YGtv6y6GphKKhxeQ4zDXO2ylRVMcttM%2FLUj0fmrQ0%2FanYo1HmNHgldyGDORKBn7NtaIRSDb4PdqV0REti8ewH0GUmOpWPkaWY7zJR9RWdUmhJcW08ufXLg%2F1HfjVqpW%2FGfVN%2BBWrE0
20.,彩虹夫妇第4胎产女称如愿了,28.5万,/l?e=2d00%2FU8C9hXIjBAFuxbdhPEdL3M0%2Fvqs3n9R0e2W%2BKz4%2FHzCOLmt9SbxJCxmuK0%2F0o9tgSl1o3ZCoqDkyY49HWXsFuE0bYKsXhRzvNKS6%2B53mtu4g5wcCZ4Fma70qHtEc9wNc6K0jSwruI4Qd9DRc%2Fk9LqiXfji8pSaM9AT7vATUfdYD8kl5Fqz11EJML4jQzzOFhlCZED2sd7SLktU7e%2FOh9yhveiDT9nOmLG%2FKGDcR1IASL5VNH702i8f4%2B4B1sepddg9Q6F9nDG%2F7T80MkeybEEIdszYADUf3nyZfOs3hoWYU%2B4rO0%2BidAFMHJrExPEaVQQ2P5niCyzRfq31%2FJCUAk7uVov0m0M3Y0w9WTMpCLj2hqjX%2Bpgtx4g
21.,金靖月子中心vlog,25.6万,/l?e=4037hrCEnhZZ3THk9zCIZSjGV9kw4Piqb1SevIGf7nfLxuodfDzJ%2B%2F8P2M4tPWW4%2FeZJT2eqPfXZSnPdnomxnAedXKuZ%2BR810iD2eoUlLs1CjhjfyS7HW9rsPjVVYzrzeWG5EsGWUhq0IcqhN4ADry7ecpQORq2fTBWFYd8uKtRnC7yW7PsAxLTUr12ijO%2Fbx4%2BuPus5tYI6eZ4DqwSAXVl5WjiS2OO36Ewam3JTrzgTylDlOojMUetmU15uH4ux56iL5w
22.,戛纳最佳导演镜头里的杭州,25.4万,/l?e=2ed8AdghpkJN7Lz6d7o8WnoFcNoL3YCPTFVRmSYTPFy3K8%2BJEMrYGuMj1w2uOStkLGpEe5z%2Bv5rRdSKYSryly8VtHh2uKG3aiX55ZGHVWf%2FG%2Fm1mA%2Bfw6pJ7Qgstfv9pg%2Bk5WDTRLStrpnsgDiPI%2BDwx0gQthp%2BbIdN6ekSaxLmAMkZBN4jVtHDH8VfR7T5o5NGn3p9A2twtKc8%2Bbhf%2BWAOU9eMKaSkZr0f5vpUeLCnhZ5fN7t4GfrmW%2BpFWBSDj5jsuhm1ieo3o2g%2FP6OeoKKYIty4LYWOnrPH1lSXmg5XvVK9U4MkQ25YvomWvWmX2Iq5OQhmZX2SMH2CnSjC40mqp%2Bvx4oVn875%2B62ccPCn1QHLfJ2JSL3vjN
23.,黄景瑜32岁状态,25.3万,/l?e=dc7cG2lgNoOwZ6tTSC1ZOC0qBIEntplnvKXv4Ajtbmzj4e%2FeFJGJOrWjCM05hLYh61LrsaE6AXHOW4LRtHkdubvs70xbd2873JipaBXzzJdJsvcR8biKFFNoYx0p49wolKtC%2FxGbz5Gs95evCtKXNVHnqbShkIobLZ3hTIoIpHNtW1D99FIV2LwBG760Pp2PYI6lHRydoK7d%2BD2exvgdyb1DS7T2Bl%2BzgJRGGCU%2FAOmGe4stzRMoPBfZA9wBHfjqE3g
24.,英子开门你的川来了,25.3万,/l?e=de96AlPEZM3R%2BgIpL2e%2FaQ5d8fR9ed3bvwgpbSQ%2BlwQKEr8U7rnseW3iauk2isDWl9jnVd%2FReX0OlwZOTqPb%2Bp81XeToa0M9NUGZj526RhtCke2IYDwqZVXNGlSkszBQx9jG%2Bx5uTLZIIL4KsQ%2F03a6C2hAnDqoLsbGcb445GLmUN0tN3Y4w3HASQrKlN3tbyzXvOVk%2FVnjmNg%2BY67LcWp7ZPPwaPVMWxA0sPn8PaZ8ZLCYrHm4QAw7Y4zzC8tIoeXKl2U%2FqZLtu1fAhwbONr%2BcSiTpamaP13%2Fm4ZxL4YH%2BxRWFctnBVoH26Cvo7
25.,梁伟铿说和王昶天作之合所向披靡,23.7万,/l?e=1018xLRAEFZ0Frm7zXwpGvCPXDSp9mseng%2FVDuXV%2FS2LJRsRHrwXILEFgnPJIRccecyxeVYFN3GU%2FV%2F%2BWhsbePIN0FMWOdTG8H9bU1ywv9oXMsdsZeOjZ%2BNEIHw1WhFTL4R0f9oCAtDp%2ByvN8gKat%2FLoYCrvixCyo7v4i%2Bfygl9p5yW9kgtxnE2ZaBoiOTNiF6H8eVX5SJrzUwLeUlihlwwoNdI2k%2BYHVaP1Lu2luJochzys%2BvBconb5AGxp38cV715hyBd%2BF2JRE%2F6r81PAPV%2FK%2BoTOttTFjFXLdstaC4jO74grQAeNCck3h4qogJoangHljrRcTqWDebWt8b4mz%2BySjl06DNCjNLW2rVszfS%2FlhDpkztlHgspJfbgxI8gaAi85AD%2Fx5%2FHUWBRJ97LTFb%2Fhxyds8tm3EiTzz6KXq%2Fu%2BEfJwmleD
26.,结婚3年流产2次竟是老公精子碎了,23.2万,/l?e=6c0c2Hxeww8h%2FBEmOl5TpRBQGEsihfQo%2BSPHgNzZflppRl5a9OQj4y%2Fsst1aRSEe%2F%2Bgv4rJhTl%2BpRYuy97wRAhs9zg%2Fqos8e5s5nHaBOfgwt0B4T%2BSBbe2pPbgnZwN6obYkeRDdGSj0SNz1vHTcTeZXADIVnR4j26vH3j3hCkdpR%2Bijwm6KL8LOR%2Brvd7BJk6wp%2BMLyGg2ZuUxRonoXS0JqO%2Ba89foJemqe2nHnqtsw34jmdmkdLPRfWJpQbzdELB4j1yCuVbxD6869c2QQPSW6j3GUeaFM8hmAEEJBRl1EB3mzDjCjaA2pHdCndZA3fbCng2hqHaRBQxwNHQ%2BDAbnh9P%2FcGkBfhWmeGjLnHl1k4b6nlDsmWNnrDTMA7ib8rIgzGD44P9eXat40ZKsGKMPOgNIsm%2Bq80BwI
27.,周密周芯竹聊天记录,22.2万,/l?e=67d1uGZtWqDYucRU%2B9Nt5gQtAQzIQCYFKHLlywr53%2B9JOxsknpfGoAShrmCuXnwhrYwoWdbFUuRs9OLzAuOsevAuRwNuG6yAPF0GlpazZm2Bgfeca18ECQZpSghDnoopov96LmSputQSqKsrm7osLO0zFrbnfamPZWZnM6w2o5N3R5vuRGEWLl9f4FSj%2BetZ3sM7WOtMVUVu%2F4TVx%2F68jP7SRkXNI3xanc0dBOo9VvcxLAEEHI0sZ5FxypxLZRQdFiVUdfnzsdTdBhwNYPbPQ82R16rCTbh%2FB4HzJynF3rSGaWVWQLSKqOrZxRLV
28.,虞书欣丁禹兮 一个想靠一个想搂,22.0万,/l?e=e811Lfl9qJJW3iCYNtQj1mSElUUlz6%2FFZq3%2B9tCsmhys5R1vZx1%2Fue7Xx5HSMQO5Fy8F2rjYZAgW0z4rN%2Bw5mwEjZHaznrwA%2FlVVuFjFu013UI7LM%2BwOJMqEN3v90Rs7SLlY5zKlrhXu68lngEzmMBdRgSLjPpPRTs8l2B6%2Bx0tDzVXHvAg4%2BwV%2BkW71jJiX5Y1ef2YMefZDBIhqT2SIXKqgG%2FJDskb8UNqrDRlhtFWzK%2BBO%2BfTD2RDif%2B7ethDl1cnzXyiwqSurmzmUgfWVojqIldBhr5uDNZYqdLd3TfeMozsAkKBTt1ikFuHemyMPSFS7eNLqgGRBhgG25xMCjRSGEDwBtdfrK2r%2BULMmWFzOjZHVCrSTntL6t83FFjMaLzrUlXGDIsDw3wNeV7GxhY%2BYFfSdRf%2Bw7%2Ba5
